angular_velocity,raw_current,read_current,timestamp
0.0,-58,31,1741268912.5399516
0.0,-31,30,1741268912.5399516
0.0,-31,30,1741268912.5399516
0.0,22,30,1741268912.5404692
0.0,-588,30,1741268912.5525253
0.0,42,31,1741268912.5525253
0.0,-3,30,1741268912.5525253
0.0,-31,31,1741268912.5531852
0.0,22,30,1741268912.5531852
0.0,-31,30,1741268912.5531852
0.0,-31,31,1741268912.5531852
0.0,70,30,1741268912.5531852
0.0,70,33,1741268912.5685956
0.0,70,30,1741268912.5685956
0.0,70,30,1741268912.5685956
0.0,70,31,1741268912.5685956
0.0,70,31,1741268912.5839958
0.0,-3,31,1741268912.5839958
0.0,-77,31,1741268912.5839958
0.0,-31,30,1741268912.5839958
0.0,-3,31,1741268912.5993087
0.0,-77,31,1741268912.5993087
0.0,42,30,1741268912.5998127
0.0,42,30,1741268912.5998127
0.0,-31,31,1741268912.6145263
0.0,22,29,1741268912.6145263
0.0,70,31,1741268912.6150446
0.0,70,31,1741268912.6300385
0.0,70,30,1741268912.6300385
0.0,70,31,1741268912.6300385
0.0,-3,31,1741268912.6305556
0.0,42,32,1741268912.6451912
0.0,70,30,1741268912.6451912
0.0,115,32,1741268912.6607661
0.0,42,30,1741268912.6607661
0.0,22,30,1741268912.6607661
0.0,42,31,1741268912.6607661
0.0,42,30,1741268912.6607661
0.0,42,31,1741268912.6607661
0.0,70,31,1741268912.675962
0.0,42,30,1741268912.675962
0.0,42,31,1741268912.6764772
0.0,-3,30,1741268912.6764772
0.0,-3,30,1741268912.6914177
0.0,42,31,1741268912.6914177
0.0,70,30,1741268912.6914177
0.0,70,30,1741268912.6914177
0.0,42,31,1741268912.707108
0.0,70,31,1741268912.707108
0.0,70,30,1741268912.707108
0.0,70,31,1741268912.707108
0.0,70,30,1741268912.722524
0.0,70,31,1741268912.7230659
0.0,-104,30,1741268912.7230659
0.0,42,32,1741268912.7379756
0.0,70,30,1741268912.7385316
0.0,-77,31,1741268912.7385316
-0.5235987901687622,-223,30,1741268912.7385316
-1.5707963705062866,-297,28,1741268912.7534406
-2.5132741928100586,-479,30,1741268912.7534406
-3.560471773147583,-630,32,1741268912.7539597
-4.921828746795654,-1011,35,1741268912.7539597
-9.738937377929688,-1273,47,1741268912.768548
-15.603243827819824,-1886,66,1741268912.768548
-22.828907012939453,-2471,105,1741268912.7690568
-26.17993927001953,-2904,146,1741268912.7690568
-34.03392028808594,-3724,209,1741268912.7838044
-38.01327133178711,-4063,232,1741268912.784309
-42.51622009277344,-4131,291,1741268912.784309
-48.066368103027344,-4388,358,1741268912.784309
-54.87315368652344,-4584,382,1741268912.7991934
-58.53834533691406,-4755,415,1741268912.7991934
-61.67993927001953,-4830,455,1741268912.7991934
-66.1828842163086,-5284,505,1741268912.7991934
-74.9793472290039,-5615,552,1741268912.8152354
-81.36724853515625,-5472,630,1741268912.8152354
-90.79203033447266,-5523,704,1741268912.8152354
-98.64601135253906,-5197,678,1741268912.8307881
-109.01326751708984,-5162,729,1741268912.8307881
-117.2861328125,-5062,761,1741268912.8307881
-122.5221176147461,-4546,748,1741268912.8312922
-133.30825805664062,-4800,721,1741268912.8458505
-137.49703979492188,-4428,757,1741268912.8458505
-138.96311950683594,-4012,707,1741268912.8458505
-143.36134338378906,-3978,661,1741268912.8458505
-139.5914306640625,-3879,638,1741268912.8617823
-142.52359008789062,-3640,617,1741268912.8617823
-143.36134338378906,-3251,565,1741268912.8617823
-137.70648193359375,-3426,573,1741268912.8617823
-134.5648956298828,-3533,532,1741268912.8777933
-132.3657684326172,-3255,498,1741268912.8777933
-128.70057678222656,-3800,528,1741268912.8777933
-125.1401138305664,-4008,567,1741268912.8777933
-123.25515747070312,-3837,563,1741268912.8936434
-124.72122955322266,-4326,608,1741268912.8936434
-121.47492218017578,-4441,661,1741268912.8936434
-127.54866790771484,-4475,704,1741268912.8936434
